"GEOID1","MOVEDOUT_M","MOVEDIN","MOVEDOUT","MOVEDNET","MOVEDNET_M","year"
"2608946820",116,128,116,4,4,2014
"2608974500",143,147,143,4,4,2014
"2608977620",362,257,362,-106,-106,2014
"2608980340",178,0,178,-178,-178,2014
"2608908440",176,166,176,-10,-10,2015
"2608914340",20,102,20,73,73,2015
"2608916400",90,67,90,-23,-23,2015
"2608925700",223,543,223,320,320,2015
"2608926000",21,87,21,66,66,2015
"2608932380",25,70,25,34,34,2015
"2608942320",198,64,198,-141,-141,2015
"2608946700",196,167,196,-39,-39,2015
"2608946820",114,137,114,18,18,2015
"2608974500",132,135,132,0,0,2015
"2608977620",565,254,565,-313,-313,2015
"2608980340",148,17,148,-131,-131,2015
"2608908440",147,118,147,-29,-29,2016
"2608914340",11,76,11,56,56,2016
"2608916400",72,55,72,-17,-17,2016
"2608925700",138,690,138,552,552,2016
"2608926000",46,101,46,55,55,2016
"2608932380",31,57,31,14,14,2016
"2608942320",254,73,254,-188,-188,2016
"2608946700",206,184,206,-34,-34,2016
"2608946820",108,53,108,-55,-55,2016
"2608974500",106,148,106,36,36,2016
"2608977620",543,285,543,-262,-262,2016
"2608980340",168,17,168,-151,-151,2016
"2615322960",0,30,0,30,30,2010
"2615331940",0,36,0,36,36,2010
"2615337940",20,76,20,56,56,2010
"2615340840",41,53,41,12,12,2010
"2615350760",369,192,369,-177,-177,2010
"2615350780",121,95,121,-29,-29,2010
"2615356060",0,17,0,17,17,2010
"2615372500",11,27,11,13,13,2010
"2615379580",0,106,0,106,106,2010
"2615322960",0,55,0,55,55,2011
"2615331940",31,88,31,57,57,2011
"2615337940",6,82,6,76,76,2011
"2615340840",24,41,24,17,17,2011
"2615350760",261,111,261,-150,-150,2011
"2615350780",44,73,44,26,26,2011
"2615356060",0,16,0,16,16,2011
"2615372500",12,2,12,-12,-12,2011
"2615379580",0,101,0,101,101,2011
"2615322960",0,40,0,40,40,2012
"2615331940",27,98,27,71,71,2012
"2615337940",32,83,32,51,51,2012
"2615340840",24,10,24,-14,-14,2012
"2615350760",345,112,345,-233,-233,2012
"2615350780",3,67,3,60,60,2012
"2615372500",2,2,2,-2,-2,2012
"2615379580",11,102,11,91,91,2012
