"o_fips","n_return_out","n_exempt_out","agi","year"
"13155",1615,3121,54016,2012
"13157",7776,17373,296815,2012
"13159",2624,5662,97951,2012
"13161",1293,3051,32933,2012
"13163",1714,3634,48461,2012
"13165",815,1821,20080,2012
"13167",746,1622,18787,2012
"13169",3469,7418,126826,2012
"13171",2487,5298,75125,2012
"13173",2276,4536,59770,2012
"13175",4390,9077,147633,2012
"13177",4810,10282,203140,2012
"13179",21872,52681,659780,2012
"13181",670,1263,21651,2012
"13183",3171,7893,88720,2012
"13185",19820,37957,596313,2012
"13187",4379,9033,144961,2012
"13189",2261,4839,64135,2012
"13191",1629,3201,51380,2012
"13193",1354,3020,36076,2012
"13195",3837,8149,102457,2012
"13197",827,1773,23155,2012
"13199",3494,8149,92654,2012
"13201",715,1672,30125,2012
"13205",2271,5025,62056,2012
"13207",3343,6582,118086,2012
"13209",1239,2637,39636,2012
"13211",2252,4505,76215,2012
"13213",4046,10312,112638,2012
"13215",39862,79369,1350342,2012
"13217",15047,31379,502959,2012
"13219",5253,10566,285775,2012
"13221",1710,3585,53277,2012
"13223",19334,40948,748521,2012
"13225",4252,8570,122891,2012
"13227",3682,7464,168387,2012
"13229",1953,4347,55401,2012
"13231",2330,4913,74636,2012
"13233",4189,10006,117971,2012
"13235",1023,2310,29444,2012
"13237",2643,5408,113017,2012
"13239",357,745,9882,2012
"13241",1806,3339,67538,2012
"13243",793,1613,22452,2012
"13245",35741,69653,1208795,2012
"13247",18517,38094,619384,2012
"13249",458,1081,13832,2012
"13251",1629,3238,40171,2012
"13253",1092,2373,31780,2012
"13255",9328,20102,353051,2012
"13257",3147,6338,214075,2012
"13259",590,1205,16379,2012
"13261",3665,7312,67799,2012
"13263",985,2128,28195,2012
"13265",161,285,4409,2012
"13267",2703,5947,73679,2012
"13269",737,1572,20557,2012
"13271",1277,2927,33095,2012
"13273",1183,2360,30957,2012
"13275",5273,10261,194381,2012
"13277",7540,14011,188474,2012
"13279",3181,6663,90814,2012
"13281",1194,2302,41571,2012
"13283",582,1367,20930,2012
"13285",7480,15508,248077,2012
"13287",3101,4466,56746,2012
"13289",1163,2384,32277,2012
"13291",2432,4588,87707,2012
"13293",2674,5530,79293,2012
"13295",7622,15787,237836,2012
"13297",12497,26878,444604,2012
"13299",4504,9139,120218,2012
"13301",711,1550,21315,2012
"13303",1525,3091,47918,2012
"13305",3203,6788,91092,2012
"13307",201,493,5193,2012
"13309",538,1175,15093,2012
"13311",3232,6344,100507,2012
"13313",9172,22030,272256,2012
"13315",884,1723,25346,2012
"13317",825,1899,26263,2012
"13319",1010,2065,27428,2012
"13321",3186,5962,77527,2012
"15000",87580,177890,3796913,2012
"15001",13512,24502,546607,2012
"15003",92221,195175,4021054,2012
"15007",5674,10098,241461,2012
"15009",12040,20582,531093,2012
"16000",127385,274814,5095897,2012
"16001",39262,79556,1679309,2012
"16003",555,1192,20358,2012
"16005",9455,20532,337974,2012
"16007",734,1596,31294,2012
"16009",997,2050,36073,2012
"16011",4956,12243,172346,2012
"16013",2847,5038,161600,2012
"16015",1192,2495,51625,2012
"16017",5557,10428,200970,2012
"16019",11431,26483,518459,2012
"16021",1221,2629,39615,2012
"16023",506,1154,21650,2012
"16025",145,319,4431,2012
"16027",19466,44437,632270,2012
"16029",669,1409,34210,2012
"16031",2761,6800,91540,2012
"16033",87,339,2895,2012
"16035",918,1767,35413,2012
"16037",638,1311,24336,2012
"16039",5871,13232,203968,2012
"16041",1080,2749,49544,2012
"16043",1717,4170,56413,2012
"16045",2214,4923,86457,2012
"16047",1895,4445,25977,2012
"16049",1455,2812,45124,2012
"16051",3125,8099,111543,2012
"16053",3175,7816,100017,2012
"16055",15150,28683,1146657,2012
"16057",5796,10563,202837,2012
"16059",1027,2060,33509,2012
"16061",1535,3311,51977,2012
"16063",627,1591,15696,2012
"16065",7240,18506,185231,2012
"16067",2393,6173,68247,2012
"16069",4758,8772,168031,2012
"16071",472,1129,17431,2012
"16073",1577,3987,48061,2012
"16075",3090,7064,99409,2012
"16077",927,2292,35795,2012
"16079",1429,2986,48077,2012
"16081",1614,3487,61138,2012
"16083",8891,19213,266986,2012
"16085",1877,3417,74744,2012
"16087",1235,2631,38066,2012
"17000",812957,1535287,45589954,2012
"17001",4896,9207,218404,2012
"17003",973,2005,22993,2012
"17005",1785,3568,65062,2012
"17007",6475,14146,267460,2012
"17009",512,858,23963,2012
"17011",3418,6332,125540,2012
"17013",353,590,14638,2012
"17015",1624,2972,55356,2012
"17017",1766,3483,60805,2012
"17019",23274,41396,1163983,2012
"17021",2927,5447,109750,2012
"17023",1520,2948,52309,2012
"17025",1158,2228,43415,2012
"17027",3705,7159,144425,2012
"17029",5466,9724,199470,2012
"17031",361360,654705,22190500,2012
"17033",1433,2783,60164,2012
"17035",1210,2489,43125,2012
"17037",13232,24214,520730,2012
"17039",1679,3452,67893,2012
"17041",2280,4249,83955,2012
"17043",108868,205580,7321221,2012
"17045",1567,3160,61710,2012
"17047",647,1296,24558,2012
"17049",2959,5527,119686,2012
"17051",2142,4235,75947,2012
"17053",1621,3091,55793,2012
"17055",3480,7049,115814,2012
"17057",3112,5891,104658,2012
"17059",458,949,16867,2012
"17061",1171,2276,38165,2012
"17063",6606,13357,340597,2012
"17065",662,1281,23374,2012
"17067",1945,3724,66154,2012
"17069",371,763,14199,2012
"17071",742,1318,26812,2012
"17073",4879,9492,211502,2012
"17075",2884,5267,105111,2012
"17077",9210,15149,252267,2012
"17079",768,1385,29120,2012
"17081",3302,6326,123925,2012
"17083",2320,4253,92393,2012
"17085",1966,3500,109322,2012
"17087",1250,2487,47714,2012
"17089",52843,112334,2887719,2012
"17091",9535,18331,364885,2012
"17093",18071,40124,1014224,2012
"17095",4467,8152,161200,2012
"17097",68167,131332,5746295,2012
"17099",10443,19508,447120,2012
"17101",1272,2421,46065,2012
"17103",3663,6903,147469,2012
"17105",3711,6883,147277,2012
"17107",2879,5385,104623,2012
"17109",3708,5950,126086,2012
"17111",30454,58822,1752993,2012
"17113",16480,29848,912361,2012
"17115",10351,19804,600614,2012
"17117",4802,9574,165282,2012
"17119",23410,42893,978224,2012
"17121",3566,6973,114903,2012
"17123",1489,2871,56673,2012
"17125",1423,2781,55078,2012
"17127",1591,3161,53333,2012
"17129",1535,2901,58682,2012
"17131",1850,3412,72811,2012
"17133",3139,5627,163414,2012
"17135",2316,4522,81080,2012
"17137",3507,6790,139387,2012
"17139",1878,3562,141724,2012
"17141",5450,10399,217876,2012
"17143",20517,37750,1341038,2012
"17145",1839,3606,57546,2012
"17147",2003,3969,93634,2012
"17149",1294,2340,51020,2012
"17151",673,1328,24552,2012
"17153",632,1455,19870,2012
"17155",616,1135,22267,2012
"17157",2589,5001,105214,2012
"17159",1410,2688,53378,2012
"17161",14194,26580,665738,2012
"17163",27589,57139,1309838,2012
"17165",2187,4535,77210,2012
"17167",16866,30124,803066,2012
"17169",583,986,17501,2012
"17171",406,751,11122,2012
"17173",2229,4289,78574,2012
"17175",740,1408,27362,2012
"17177",3662,6818,134853,2012
"17179",13069,24156,743273,2012
"17181",1609,3008,53295,2012
"17183",6108,11903,205247,2012
"17185",1036,2006,37968,2012
"17187",1945,3866,66098,2012
"17189",1572,2881,64369,2012
"17191",1379,2736,46108,2012
"17193",1232,2346,57440,2012
"17195",4793,8649,187397,2012
"17197",64991,130834,3552420,2012
"17199",6895,13141,294014,2012
"17201",23752,45642,1155617,2012
"17203",4437,8655,250692,2012
"18000",470758,924171,20255187,2012
"18001",2166,4776,71948,2012
"18003",26365,51765,1214241,2012
"18005",7809,17356,368991,2012
"18007",1111,2265,38487,2012
"18009",1298,2586,37494,2012
"18011",7020,14193,489154,2012
"18013",2216,4414,84543,2012
"18015",2479,4982,88482,2012
"18017",3774,8247,116421,2012
"18019",13588,26987,500343,2012
"18021",2894,5662,92086,2012
"18023",3254,6692,108821,2012
"18025",1042,2019,30849,2012
"18027",2108,4372,74100,2012
"18029",5525,10893,234021,2012
"18031",2566,5008,88838,2012
"18033",4465,9083,168384,2012
"18035",10595,18778,372050,2012
"18037",3422,6592,165048,2012
"18039",15688,32654,610761,2012
"18041",2022,4087,63370,2012
"18043",10245,19847,609146,2012
"18045",1938,4089,72133,2012
"18047",2969,6414,131219,2012
"18049",1985,4105,57374,2012
"18051",3244,6326,124559,2012
"18053",5857,11236,196154,2012
"18055",3096,6270,105125,2012
"18057",33422,66827,2292875,2012
"18059",9963,21319,632718,2012
"18061",3928,7647,563630,2012
"18063",17823,35065,845900,2012
"18065",4471,8489,151261,2012
"18067",8489,17044,335718,2012
"18069",3306,6412,117662,2012
"18071",4392,12176,144397,2012
"18073",3234,6453,110759,2012
"18075",1690,3411,50034,2012
"18077",2989,6026,140876,2012
"18079",2781,6360,82579,2012
"18081",19575,38943,845352,2012
"18083",3264,6028,127958,2012
"18085",8080,16268,342426,2012
"18087",3595,7646,116528,2012
"18089",42950,84211,1557760,2012
"18091",8614,16515,348552,2012
"18093",3482,7032,116135,2012
"18095",11678,22388,395458,2012
"18097",100477,191802,4554161,2012
"18099",4450,9189,155917,2012
"18101",947,1915,33416,2012
"18103",3552,7174,151971,2012
"18105",18215,29581,666143,2012
"18107",4660,11850,163596,2012
