"GEOID","NAME","MedIncE","MedIncM","GiniE","GiniM","TotPopE","TotPopM","Year"
"26151","Sanilac County, Michigan",22052,466,0.4246,0.0094,41761,NA,2016
"26073","Isabella County, Michigan",16243,458,0.4904,0.0141,70574,NA,2016
"26131","Ontonagon County, Michigan",21469,914,0.4135,0.024,6165,NA,2016
"26157","Tuscola County, Michigan",22556,669,0.4036,0.0093,54014,NA,2016
"26001","Alcona County, Michigan",21270,758,0.4202,0.0174,10461,NA,2016
"26067","Ionia County, Michigan",25053,741,0.3949,0.0095,64126,NA,2016
"26079","Kalkaska County, Michigan",23008,1342,0.4309,0.0254,17259,NA,2016
"26021","Berrien County, Michigan",24387,540,0.472,0.0079,155134,NA,2016
"26135","Oscoda County, Michigan",20187,1176,0.4307,0.0196,8374,NA,2016
"26165","Wexford County, Michigan",21799,657,0.4331,0.0188,32829,NA,2016
"26037","Clinton County, Michigan",31123,658,0.4311,0.013,77245,NA,2016
"26043","Dickinson County, Michigan",23404,1469,0.4532,0.0222,25889,NA,2016
"26063","Huron County, Michigan",24172,675,0.4295,0.0112,32021,NA,2016
"26065","Ingham County, Michigan",22366,369,0.4794,0.0072,284559,NA,2016
